,jobs,Country,Population,Employment_rate,Unemployment_rate,rate_percentage,person/job
0,24420,Argentina,45510.318,43.3,56.7,0.5670000000000001,1057.0
1,174941,Australia,26177.413,64.28,35.72,0.35719999999999996,53.0
2,65380,Austria,8939.617,74.1,25.900000000000006,0.25900000000000006,35.0
3,239588,Belgium,11655.93,66.0,34.0,0.34,17.0
4,335733,Brazil,215313.498,57.0,43.0,0.43,276.0
5,502871,Canada,38454.327,61.3,38.7,0.387,30.0
6,84343,Chile,19603.733,55.1,44.9,0.449,104.0
7,33083,Colombia,51874.024,56.53,43.47,0.4347,682.0
8,7444,Costa Rica,5180.829,52.62,47.38,0.4738,330.0
9,50473,Czech Republic,10493.986,75.2,24.799999999999997,0.24799999999999997,52.0
10,40788,Denmark,5882.261,67.3,32.7,0.327,47.0
11,40788,Ecuador,18001.0,42.0,58.0,0.58,256.0
12,13627,Finland,5540.745,75.7,24.299999999999997,0.24299999999999997,99.0
13,210042,France,64626.628,68.0,32.0,0.32,98.0
14,1402408,Germany,83369.843,77.3,22.700000000000003,0.22700000000000004,13.0
15,14850,Greece,10384.971,88.46,11.540000000000006,0.11540000000000006,81.0
16,27000,Hungary,9967.308,64.11,35.89,0.3589,132.0
17,188572,India,1417173.173,42.3,57.7,0.5770000000000001,4336.0
18,58180,Ireland,5023.109,73.5,26.5,0.265,23.0
19,68975,Israel,9038.309,60.6,39.4,0.39399999999999996,52.0
20,200286,Italy,59037.474,59.9,40.1,0.401,118.0
21,6542747,Japan,123951.692,61.3,38.7,0.387,7.0
22,15311,Luxembourg,647.599,70.3,29.700000000000003,0.29700000000000004,13.0
23,244730,Mexico,127504.125,96.57,3.430000000000007,0.03430000000000007,18.0
24,121,Morocco,37457.971,40.2,59.8,0.598,185123.0
25,437856,Netherlands,17564.014,81.8,18.200000000000003,0.18200000000000002,7.0
26,33000,New Zealand,5185.288,68.5,31.5,0.315,49.0
27,6784,Nigeria,218541.212,66.7,33.3,0.33299999999999996,10727.0
28,49547,Norway,5434.319,70.7,29.299999999999997,0.293,32.0
29,24649,Peru,34049.588,92.7,7.299999999999997,0.07299999999999997,101.0
30,155045,Philippines,115559.009,94.0,6.0,0.06,45.0
31,99841,Poland,39857.145,71.4,28.599999999999994,0.2859999999999999,114.0
32,49605,Portugal,10270.865,56.4,43.6,0.436,90.0
33,32190,Romania,19659.267,67.8,32.2,0.322,197.0
34,32091,South Africa,59893.885,38.7,61.3,0.613,1144.0
35,131321,South Korea,51815.81,61.4,38.6,0.386,152.0
36,95400,Spain,47558.63,51.38,48.62,0.48619999999999997,242.0
37,72711,Sweden,10549.347,68.5,31.5,0.315,46.0
38,75665,Switzerland,8740.472,79.3,20.700000000000003,0.20700000000000002,24.0
39,30244,Turkey,85341.241,46.5,53.5,0.535,1510.0
40,20126,Ukraine,39701.739,64.1,35.900000000000006,0.35900000000000004,708.0
41,737410,United Kingdom,67508.936,75.4,24.599999999999994,0.24599999999999994,23.0
42,7352938,United States,338289.857,60.1,39.9,0.39899999999999997,18.0
43,3205,Uruguay,3422.794,56.8,43.2,0.43200000000000005,461.0
44,3186,Venezuela,28301.696,93.65,6.349999999999994,0.06349999999999995,564.0
