,jobs,Country,Population,jobs/Population
0,24420,Argentina,45510.318,0.54
1,174941,Australia,26177.413,6.68
2,65380,Austria,8939.617,7.31
3,1248,Bahrain,1472.233,0.85
4,239588,Belgium,11655.93,20.56
5,335733,Brazil,215313.498,1.56
6,502871,Canada,38454.327,13.08
7,84343,Chile,19603.733,4.3
8,131804,China,1425887.337,0.09
9,33083,Colombia,51874.024,0.64
10,7444,Costa Rica,5180.829,1.44
11,50473,Czech Republic,10493.986,4.81
12,40788,Denmark,5882.261,6.93
13,40788,Ecuador,18001.0,2.27
14,40788,Egypt,110990.103,0.37
15,13627,Finland,5540.745,2.46
16,210042,France,64626.628,3.25
17,1402408,Germany,83369.843,16.82
18,14850,Greece,10384.971,1.43
19,77451,Hong Kong,7488.865,10.34
20,27000,Hungary,9967.308,2.71
21,188572,India,1417173.173,0.13
22,188572,Indonesia,275501.339,0.68
23,58180,Ireland,5023.109,11.58
24,68975,Israel,9038.309,7.63
25,200286,Italy,59037.474,3.39
26,6542747,Japan,123951.692,52.78
27,2384,Kuwait,4268.873,0.56
28,15311,Luxembourg,647.599,23.64
29,130569,Malaysia,33938.221,3.85
30,244730,Mexico,127504.125,1.92
31,121,Morocco,37457.971,0.0
32,437856,Netherlands,17564.014,24.93
33,33000,New Zealand,5185.288,6.36
34,6784,Nigeria,218541.212,0.03
35,49547,Norway,5434.319,9.12
36,1524,Oman,4576.298,0.33
37,21604,Pakistan,235824.862,0.09
38,3087,Panama,4408.581,0.7
39,24649,Peru,34049.588,0.72
40,155045,Philippines,115559.009,1.34
41,99841,Poland,39857.145,2.5
42,49605,Portugal,10270.865,4.83
43,11498,Qatar,2695.122,4.27
44,32190,Romania,19659.267,1.64
45,15993,Saudi Arabia,36408.82,0.44
46,157992,Singapore,5975.689,26.44
47,32091,South Africa,59893.885,0.54
48,131321,South Korea,51815.81,2.53
49,95400,Spain,47558.63,2.01
50,72711,Sweden,10549.347,6.89
51,75665,Switzerland,8740.472,8.66
52,52498,Taiwan,23893.394,2.2
53,124110,Thailand,71697.03,1.73
54,30244,Turkey,85341.241,0.35
55,20126,Ukraine,39701.739,0.51
56,28655,United Arab Emirates,9441.129,3.04
57,737410,United Kingdom,67508.936,10.92
58,7352938,United States,338289.857,21.74
59,3205,Uruguay,3422.794,0.94
60,3186,Venezuela,28301.696,0.11
61,77624,Vietnam,98186.856,0.79
